branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1843, 8, 0, 0, 0, 15, 29681, 8069, 34332
50, 1, 98, 7, 0, 0, 0, 5, 11907, 683, 2643
50, 1, 97, 43, 0, 0, 0, 46, 14825, 2012, 3066
50, 1, 99, 28, 0, 0, 0, 35, 10209, 499, 1925
50, 1, 98, 3, 0, 0, 0, 7, 9908, 506, 1762
50, 2, 1583, 25, 0, 0, 0, 21, 32746, 9378, 26971
50, 2, 2126, 36, 0, 0, 0, 44, 42176, 11221, 30358
50, 2, 1705, 11, 0, 0, 0, 12, 46938, 8610, 19119
50, 1, 97, 42, 0, 0, 0, 42, 18628, 1784, 2350
50, 2, 1921, 5, 0, 0, 0, 2, 31594, 6736, 30293
50, 1, 96, 29, 0, 0, 0, 18, 12268, 781, 3271
50, 1, 99, 13, 0, 0, 0, 17, 16664, 1423, 1442
50, 1, 98, 41, 0, 0, 0, 33, 17575, 994, 1848
50, 2, 2155, 20, 0, 0, 0, 28, 75829, 11310, 26606
50, 2, 2253, 14, 0, 0, 0, 19, 50819, 10390, 24957
50, 2, 1171, 26, 0, 0, 0, 28, 61971, 8317, 34206
50, 1, 95, 30, 0, 0, 0, 20, 11308, 585, 1958
50, 2, 1852, 32, 0, 0, 0, 33, 39472, 14758, 37642
50, 2, 2077, 47, 0, 0, 0, 48, 34167, 11987, 26231
50, 1, 98, 41, 0, 0, 0, 34, 21376, 1937, 1573
50, 1, 100, 21, 0, 0, 0, 26, 10681, 620, 2704
50, 1, 100, 38, 0, 0, 0, 47, 9194, 815, 4019
50, 1, 97, 8, 0, 0, 0, 7, 17281, 1814, 3925
50, 2, 1707, 33, 0, 0, 0, 36, 62278, 12129, 26106
50, 1, 98, 11, 0, 0, 0, 13, 17508, 1447, 1660
50, 1, 98, 5, 0, 0, 0, 2, 10008, 466, 3544
50, 2, 2233, 44, 0, 0, 0, 51, 40016, 13766, 33906
50, 2, 1583, 9, 0, 0, 0, 4, 33868, 8792, 27577
50, 1, 98, 40, 0, 0, 0, 52, 12616, 1066, 4653
50, 1, 100, 26, 0, 0, 0, 28, 11918, 763, 3074
50, 2, 1439, 28, 0, 0, 0, 30, 30354, 9550, 32866
50, 1, 97, 32, 0, 0, 0, 36, 18408, 2878, 3222
50, 2, 1378, 18, 0, 0, 0, 18, 34842, 5719, 31254
50, 2, 1703, 43, 0, 0, 0, 30, 50072, 12298, 33348
50, 1, 99, 4, 0, 0, 0, 8, 10879, 545, 2015
50, 2, 1526, 6, 0, 0, 0, 10, 31226, 7051, 16593
50, 1, 96, 1, 0, 0, 0, 0, 18558, 1715, 1688
50, 1, 98, 27, 0, 0, 0, 20, 9138, 732, 2855
50, 2, 1951, 18, 0, 0, 0, 23, 25057, 8184, 41211
50, 1, 98, 29, 0, 0, 0, 31, 9705, 1027, 2672
50, 1, 98, 36, 0, 0, 0, 42, 16772, 1672, 1477
50, 1, 96, 39, 0, 0, 0, 45, 18075, 1750, 2029
50, 2, 2230, 4, 0, 0, 0, 2, 55857, 9897, 39002
50, 1, 95, 36, 0, 0, 0, 31, 20130, 1364, 2120
50, 1, 99, 7, 0, 0, 0, 5, 24594, 1216, 3513
50, 2, 1966, 25, 0, 0, 0, 24, 45376, 13639, 43288
50, 1, 98, 29, 0, 0, 0, 17, 12739, 656, 2700
50, 1, 99, 41, 0, 0, 0, 37, 16224, 1628, 2373
50, 1, 100, 3, 0, 0, 0, 3, 9219, 523, 2058
50, 1, 94, 26, 0, 0, 0, 21, 13261, 850, 1892
50, 2, 1629, 31, 0, 0, 0, 52, 40135, 9644, 23356
50, 1, 98, 10, 0, 0, 0, 12, 14214, 1471, 2744
50, 2, 1898, 43, 0, 0, 0, 44, 28185, 10123, 39844
50, 2, 1657, 37, 0, 0, 0, 17, 37657, 10769, 29510
50, 2, 1903, 9, 0, 0, 0, 5, 48488, 7411, 23572
50, 1, 96, 46, 0, 0, 0, 54, 14939, 1733, 2426
50, 2, 1743, 28, 0, 0, 0, 25, 28410, 10259, 22388
50, 2, 1325, 41, 0, 0, 0, 45, 36452, 7995, 31455
50, 1, 96, 50, 0, 0, 0, 50, 15759, 2129, 2576
50, 2, 1646, 45, 0, 0, 0, 39, 44775, 10720, 26509
50, 1, 98, 43, 0, 0, 0, 50, 16121, 2085, 1711
50, 1, 98, 34, 0, 0, 0, 31, 9825, 823, 2631
50, 2, 2255, 39, 0, 0, 0, 38, 42419, 11429, 27271
