branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 1, 99, 42, 0, 0, 28, 0, 9338, 595, 3168
50, 1, 97, 33, 0, 0, 28, 0, 10982, 866, 2257
50, 2, 2091, 31, 0, 0, 38, 0, 34830, 9081, 32640
50, 1, 97, 46, 0, 0, 45, 0, 10448, 1186, 2333
50, 1, 96, 9, 0, 0, 13, 0, 14588, 1273, 1844
50, 2, 1847, 24, 0, 0, 28, 0, 54475, 9281, 25383
50, 1, 97, 19, 0, 0, 15, 0, 16965, 1435, 2198
50, 2, 1756, 46, 0, 0, 33, 0, 53113, 9854, 20216
50, 2, 1581, 13, 0, 0, 9, 0, 64313, 8226, 22315
50, 1, 96, 14, 0, 0, 17, 0, 12826, 1765, 2993
50, 2, 1821, 8, 0, 0, 7, 0, 41367, 8468, 34314
50, 2, 1545, 12, 0, 0, 4, 0, 49955, 8488, 22040
50, 1, 97, 12, 0, 0, 7, 0, 13582, 1135, 3828
50, 2, 2406, 33, 0, 0, 28, 0, 54967, 12549, 37780
50, 2, 1851, 27, 0, 0, 19, 0, 40826, 9972, 26888
50, 1, 100, 4, 0, 0, 5, 0, 12750, 499, 1802
50, 2, 1505, 50, 0, 0, 49, 0, 35918, 11887, 22011
50, 2, 1716, 5, 0, 0, 8, 0, 44873, 6237, 25883
50, 2, 1734, 28, 0, 0, 21, 0, 29463, 9049, 26661
50, 2, 934, 36, 0, 0, 18, 0, 25329, 6757, 22997
50, 1, 98, 10, 0, 0, 15, 0, 11815, 587, 1782
50, 2, 1647, 43, 0, 0, 37, 0, 30512, 8025, 35070
50, 2, 2530, 7, 0, 0, 4, 0, 33572, 9469, 36443
50, 2, 1492, 11, 0, 0, 10, 0, 29459, 6129, 18467
50, 2, 1858, 32, 0, 0, 26, 0, 24015, 9195, 26634
50, 1, 99, 14, 0, 0, 23, 0, 12004, 903, 4190
50, 1, 98, 35, 0, 0, 42, 0, 11038, 562, 1524
50, 2, 2182, 48, 0, 0, 36, 0, 33125, 10916, 29288
50, 1, 95, 42, 0, 0, 44, 0, 18885, 894, 3159
50, 1, 97, 11, 0, 0, 7, 0, 12387, 1722, 2458
50, 2, 1955, 20, 0, 0, 25, 0, 30969, 8068, 28718
50, 2, 1791, 26, 0, 0, 34, 0, 35016, 8222, 23176
50, 2, 2422, 36, 0, 0, 43, 0, 51467, 11133, 30751
50, 1, 97, 43, 0, 0, 60, 0, 9988, 816, 1863
50, 2, 2522, 29, 0, 0, 42, 0, 38324, 17472, 30228
50, 1, 97, 30, 0, 0, 36, 0, 15810, 1736, 4130
50, 2, 1799, 26, 0, 0, 21, 0, 55287, 12386, 39880
50, 1, 98, 41, 0, 0, 55, 0, 16297, 1461, 4190
50, 1, 99, 5, 0, 0, 8, 0, 9257, 750, 4167
50, 2, 1935, 41, 0, 0, 34, 0, 39985, 11152, 31717
50, 2, 2116, 46, 0, 0, 61, 0, 37511, 12868, 26462
50, 2, 1921, 43, 0, 0, 39, 0, 39230, 13057, 34549
50, 2, 2728, 40, 0, 0, 42, 0, 35597, 12535, 47110
50, 2, 2099, 44, 0, 0, 51, 0, 63841, 11901, 21812
50, 2, 1674, 10, 0, 0, 7, 0, 25359, 7413, 38696
50, 1, 98, 4, 0, 0, 3, 0, 9374, 542, 2370
50, 1, 98, 43, 0, 0, 43, 0, 17199, 1650, 2605
50, 1, 98, 4, 0, 0, 1, 0, 16589, 1715, 2255
50, 1, 97, 36, 0, 0, 30, 0, 16491, 1614, 4533
50, 2, 1967, 39, 0, 0, 36, 0, 34266, 17489, 26815
50, 2, 1823, 8, 0, 0, 5, 0, 27259, 6030, 39906
